#Station	ID_st	State	Name	No.records	Long	Lat	1_2013	2_2013	3_2013	4_2013	5_2013	6_2013	7_2013	8_2013	9_2013	10_2013	11_2013	12_2013	1_2014	2_2014	3_2014	4_2014	5_2014	6_2014	7_2014	8_2014	9_2014	10_2014	11_2014	12_2014	1_2015	2_2015	3_2015	4_2015	5_2015	6_2015	7_2015	8_2015	9_2015	10_2015	11_2015	12_2015	1_2016	2_2016	3_2016	4_2016	5_2016	6_2016	7_2016	8_2016	9_2016	10_2016	11_2016	12_2016	1_2017	2_2017	3_2017	4_2017	5_2017	6_2017	7_2017	8_2017	9_2017	10_2017	11_2017	12_2017	1_2018	2_2018	3_2018	4_2018	5_2018	6_2018	7_2018	8_2018	9_2018	10_2018	11_2018	12_2018	1_2019	2_2019	3_2019	4_2019	5_2019	6_2019	7_2019	8_2019	9_2019	10_2019	11_2019	12_2019	1_2020	2_2020	3_2020	4_2020	5_2020	6_2020	7_2020	8_2020	9_2020	10_2020	11_2020	12_2020	1_2021	2_2021	3_2021	4_2021	5_2021	6_2021	7_2021	8_2021	9_2021	10_2021	11_2021	12_2021	1_2022	2_2022	3_2022	4_2022	5_2022	6_2022	7_2022	8_2022	9_2022	10_2022	11_2022	12_2022	1_2023	2_2023	3_2023	4_2023	5_2023	6_2023	7_2023	8_2023	9_2023	10_2023	11_2023	12_2023	1_2024	2_2024	3_2024	4_2024	5_2024	6_2024	7_2024	8_2024	9_2024	10_2024	11_2024	12_2024	1_2025	2_2025	3_2025	4_2025	5_2025	6_2025	7_2025	8_2025	9_2025	10_2025	11_2025	12_2025	1_2026	2_2026	3_2026	4_2026	5_2026	Unnamed: 168
CYQGR	(315)	GRO	COYUQUILLA	128	-101.05	17.38	0.0	0.0	7.0	0.0	-99.0	68.0	74.0	79.5	86.5	138.5	36.1	0.0	-99.0	0.0	0.0	0.0	116.0	152.0	90.0	147.5	171.5	83.0	45.0	13.0	0.0	2.0	17.5	0.0	28.5	197.5	81.0	59.5	289.5	188.0	116.5	42.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	0.0	192.0	-99.0	114.5	128.5	259.5	34.0	0.0	6.5	0.0	0.0	0.0	0.0	81.0	38.0	158.0	404.5	110.5	3.0	0.0	0.0	3.0	0.0	0.0	0.0	73.0	40.5	512.5	63.5	-99.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	514.5	116.5	418.5	141.0	-99.0	13.0	-99.0	0.0	0.0	0.0	-99.0	8.5	187.0	-99.0	131.5	143.5	146.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	278.0	51.5	452.5	15.0	10.0	0.0	0.0	0.0	0.0	0.0	34.5	164.5	111.0	-99.0	48.5	2.0	0.0	62.0	0.0	0.0	0.0	78.0	430.5	29.5	91.5	334.5	124.0	48.0	0.0	20.5	0.0	0.0	0.0	0.0	
ECAGR	(316)	GRO	EL CARACOL	131	-99.72	17.32	1.5	0.0	0.6	33.6	82.6	-99.0	106.3	183.4	76.3	70.7	5.7	0.0	-99.0	0.0	0.0	0.0	109.21	183.91	254.5	212.81	310.0	52.5	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	25.2	0.0	9.8	0.0	38.2	267.1	126.5	179.4	214.5	41.8	14.9	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	4.1	70.6	165.0	-99.0	303.7	144.2	87.2	14.6	4.4	0.0	0.0	0.0	0.0	86.8	57.4	243.2	130.0	263.9	157.7	15.0	0.0	0.7	5.2	0.0	0.0	0.0	196.2	165.6	259.6	176.8100017	-99.0	9.2	0.0	0.0	0.0	0.0	0.0	113.6	169.71	174.3	268.6	315.2	96.7	0.0	0.0	1.8	0.0	0.0	0.0	32.9	160.0	-99.0	338.2	158.4	132.7	0.0	0.0	0.0	0.0	0.0	0.0	40.0	-99.0	-99.0	327.6	240.5	209.57	16.1	0.0	0.0	10.7	0.0	0.0	1.0	173.3	237.81	145.51	329.72	71.6	0.0	0.0	16.8	0.0	0.0	0.0	76.21	183.3	189.4	160.91	116.9	138.1	0.0	0.0	0.0	0.0	3.0	0.7	50.7	
EGLGR	(317)	GRO	P. EL GALLO	24	-100.68	18.52	5.5	0.0	3.0	0.0	3.3	163.5	175.7	137.3	270.0	81.8	7.0	0.0	-99.0	0.0	0.0	0.0	65.1	144.0	-99.0	-99.0	137.9	103.3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	-99.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
EOCGR	(318)	GRO	EL OCOTITO	56	-99.52	17.23	6.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	178.1	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	20.5	12.1	90.3	13.3	10.5	248.5	68.9	61.8	371.5	101.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	263.3	-99.0	-99.0	437.8	132.8	9.8	14.5	0.0	0.0	0.0	1.1	49.9	90.7	232.2	289.8	175.6	-99.0	80.6	1.3	-99.0	-99.0	0.0	0.0	2.0	193.0	388.8	462.5	464.0	179.0	8.0	-99.0	98.0	0.0	0.0	0.0	90.0	617.0	369.5	342.0	237.0	247.0	0.0	23.0	0.0	0.0	0.0	0.0	62.0	
IGLGR	(319)	GRO	IGUALA	146	-99.55	18.35	0.2	0.0	4.1	0.5	81.5	312.2	198.2	46.9	231.7	20.2	18.4	13.0	-99.0	0.0	0.0	0.1	108.6	237.3	182.2	259.4	299.9	138.2	-99.0	-99.0	0.0	0.7	16.4	0.1	113.4	181.2	92.9	201.4	373.2	64.4	33.8	3.8	23.9	0.0	19.7	11.7	52.0	159.3	318.9	288.5	276.8	15.3	13.3	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.1	28.9	92.1	277.0	-99.0	391.5	121.4	77.3	23.1	0.0	0.0	0.0	0.0	0.0	86.7	187.1	270.4	192.8	190.5	160.9	11.8	0.0	3.8	1.8	5.4	9.6	22.3	183.2	201.9	108.8	352.5800007	-99.0	0.3	0.0	1.6	0.0	0.0	0.0	95.7	298.9	120.5	397.9	298.7	127.3	0.0	0.0	0.4	0.0	0.0	14.3	72.0	246.3	-99.0	252.8	276.9	126.2	2.9	1.8	0.0	0.0	0.2	21.6	67.0	12.8	172.4	258.6	185.4	123.8	18.9	0.3	0.0	14.9	0.0	0.0	15.3	187.2	323.9	163.3	291.5	142.2	0.0	0.0	29.9	0.0	0.0	0.0	74.1	284.4	225.5	250.9	185.2	77.6	0.0	2.3	0.0	1.4	32.0	11.6	65.3	
LCLGR	(320)	GRO	LA CALERA	108	-101.0	18.45	4.0	0.0	0.0	0.0	12.0	70.0	86.0	46.0	142.0	10.0	0.0	0.0	-99.0	0.0	0.0	0.0	15.0	15.0	24.0	83.0	157.0	49.0	-99.0	-99.0	0.0	10.0	28.0	0.0	21.2	31.5	95.1	73.7	117.0	29.8	10.0	10.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	3.0	0.0	0.0	0.0	36.0	232.0	-99.0	111.9	83.8	106.0	39.0	4.0	0.0	0.0	0.0	0.0	6.0	60.5	83.6	45.0	127.0	72.5	6.0	0.0	0.0	10.0	0.0	4.0	-99.0	-99.0	79.0	152.0	126.0999999	-99.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	46.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	50.0	53.0	42.0	63.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	98.0	89.0	67.0	11.0	0.2	0.0	15.0	0.0	0.0	0.0	11.0	62.0	53.0	166.0	148.0	64.0	2.0	0.0	4.0	0.0	0.0	0.0	3.0	
LDCGR	(321)	GRO	LAGUNA DE COYUCA	109	-100.02	16.96	10.0	0.0	0.0	0.0	0.0	138.4	35.3	35.4	189.7	112.6	0.0	0.0	-99.0	0.0	0.0	0.0	25.5	92.8	0.0	-99.0	-99.0	210.2	-99.0	-99.0	0.0	0.0	15.0	3.4	35.9	231.7	196.9	95.7	299.2	251.8	80.3	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	0.2	398.7	-99.0	94.4	-99.0	290.6	65.0	0.0	0.0	0.0	0.0	0.0	15.0	203.0	76.0	194.0	348.0	204.0	97.0	0.0	0.0	0.0	0.0	0.0	-99.0	125.2	89.3	410.2	217.8000002	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	17.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	7.0	27.0	585.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	-99.0	-99.0	105.0	240.0	336.0	-99.0	52.0	15.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	88.0	-99.0	188.4	0.0	0.0	105.0	0.0	0.0	0.0	75.4	695.0	125.0	350.0	550.0	230.0	15.0	0.0	0.0	5.0	0.0	20.0	45.0	
LDGGR	(322)	GRO	LAS VIGAS	99	-99.24	16.76	0.0	0.0	9.5	0.0	62.8	116.0	107.0	269.6	724.8	100.2	9.0	0.0	-99.0	0.0	0.0	7.0	252.5	225.6	10.5	171.5	356.1	182.8	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	1.0	41.5	321.0	-99.0	176.0	215.0	290.2	92.5	0.0	0.0	0.0	0.0	0.0	27.0	143.0	146.2	254.6	274.0	204.0	103.0	0.0	0.0	3.0	0.0	0.0	6.0	62.0	84.5	360.0	220.1	-99.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	199.0	235.0	3.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	238.0	-99.0	-99.0	483.0	-99.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	174.0	87.5	150.0	71.5	-99.0	71.0	5.0	0.0	0.0	0.0	0.0	0.0	123.0	67.0	117.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	11.0	463.0	57.5	160.0	87.0	101.0	7.0	0.0	0.0	0.0	0.0	9.0	24.5	
MCHGR	(323)	GRO	MOCHITLAN	136	-99.37	17.47	3.1	0.0	6.6	2.4	13.7	171.4	171.3	35.9	84.0	89.4	30.1	3.3	-99.0	0.0	0.0	0.0	105.5	140.3	74.1	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	16.9	0.0	160.0	119.7	201.2	132.2	341.8	76.2	66.6	0.5	25.8	2.4	103.9	0.0	66.6	136.2	109.6	82.1	187.5	40.2	4.2	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	4.9	12.6	0.0	19.4	61.2	116.3	-99.0	223.9	131.5	77.2	1.2	12.3	16.3	0.0	0.0	0.0	20.2	188.7	403.2	-99.0	460.6	-99.0	85.6	0.0	62.2	-99.0	0.0	23.4	3.6	159.7	231.3	478.5	322.4000033	-99.0	40.5	14.2	2.8	0.0	0.0	11.2	63.0	303.5	308.5	347.4	329.8	215.8	0.0	0.0	0.0	0.0	0.0	18.4	70.5	306.3	-99.0	227.9	405.7	150.5	41.0	7.5	0.0	0.0	0.0	11.5	-99.0	-99.0	309.3	307.8	160.7	360.6	46.4	1.5	0.0	13.0	0.0	0.0	24.5	81.0	324.0	274.2	532.5	96.5	57.0	-99.0	76.5	8.0	0.0	0.0	45.1	429.0	298.7	365.2	279.7	238.4	14.5	20.8	0.0	0.0	24.0	16.2	17.1	
ODAGR	(324)	GRO	OBSERVATORIO DE ACAPULCO	139	-99.8	16.8	2.4	0.0	1.8	0.0	96.4	219.2	290.8	135.9	566.0	364.7	70.6	0.0	-99.0	0.0	0.0	0.0	189.5	317.3	23.74	275.4	215.9	155.7	-99.0	-99.0	0.0	0.0	20.3	0.0	34.9	147.0	192.5	70.0	217.6	185.5	54.6	4.0	12.1	0.0	38.7	0.0	0.0	123.4	219.7	188.2	501.5	29.8	45.5	4.7	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	10.2	275.7	-99.0	236.5	102.8	229.8	75.1	0.0	0.0	0.0	0.0	0.0	0.2	110.3	85.5	153.7	283.3	164.5	27.0	0.0	0.0	4.5	0.0	0.0	0.0	181.4	142.5	404.5	212.6999979	-99.0	0.0	1.0	0.0	0.0	0.0	0.0	37.5	467.0	176.1	544.9	-99.0	197.9	0.9	0.0	0.0	0.0	0.0	0.0	43.08	424.2	-99.0	191.3	327.2	80.2	0.0	0.0	0.0	0.0	0.0	0.0	3.6	253.3	130.5	128.9	132.0	-99.0	-99.0	-99.0	-99.0	0.6	-99.0	0.0	0.0	127.8	105.7	94.2	616.8	142.6	4.6	0.0	73.8	0.0	0.0	0.0	67.6	464.2	77.4	163.0	353.5	238.2	0.0	0.0	1.3	38.9	4.92	55.1	15.1	
ODZGR	(325)	GRO	OBSERVATORIO DE ZUMPANGO	146	-99.5	17.6	3.5	0.0	10.0	25.0	90.5	73.5	172.0	149.5	227.5	88.0	22.5	6.5	-99.0	0.0	0.0	38.0	121.5	103.5	130.0	163.5	134.0	22.0	-99.0	-99.0	0.0	0.0	43.0	0.0	75.9	78.1	34.2	176.6	158.5	14.6	29.7	1.0	15.7	1.8	18.5	1.5	111.6	173.2	156.7	137.5	188.8	105.8	29.3	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.9	0.0	0.0	9.0	176.5	140.4	-99.0	179.9	133.6	60.4	19.3	2.2	0.0	0.0	0.0	0.0	72.1	118.5	113.5	142.0	229.6	73.7	20.0	0.0	0.6	0.0	0.0	18.2	29.6	138.3	97.3	253.5	143.5000001	-99.0	6.6	0.0	2.6	0.0	0.0	2.4	109.3	259.2	76.3	195.8	160.8	107.9	0.0	0.0	14.0	3.6	0.0	12.8	97.3	221.5	-99.0	130.4	217.3	53.4	4.5	3.5	0.0	0.0	12.1	5.3	67.5	16.8	230.0	160.2	121.1	126.5	33.7	1.4	0.0	12.4	0.0	0.0	13.7	98.3	154.8	222.4	364.0	62.3	3.4	0.3	42.6	4.5	0.0	0.0	53.7	228.1	126.9	152.2	188.9	75.0	2.1	0.3	1.4	6.3	22.3	26.8	28.0	
OLNGR	(326)	GRO	OLINALA	146	-98.74	17.78	1.5	0.0	5.5	7.0	101.0	283.0	198.0	208.0	272.5	61.5	71.5	3.9	-99.0	0.0	0.0	6.5	164.5	163.0	147.5	238.0	117.5	90.5	-99.0	-99.0	0.0	0.0	38.0	14.0	126.5	152.5	240.0	188.5	392.8	35.0	48.5	0.0	8.0	0.0	12.5	14.0	64.5	202.5	308.5	270.0	230.5	71.0	50.5	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	8.0	0.0	18.5	73.5	341.5	-99.0	293.0	94.5	20.0	14.0	0.0	6.5	0.0	0.0	0.0	64.0	364.0	307.0	123.5	238.0	195.0	0.0	0.0	0.0	0.0	0.0	33.0	16.5	174.0	270.5	175.5	228.0	-99.0	0.0	0.0	9.0	0.0	33.0	1.0	207.5	188.5	153.5	290.0	217.5	53.0	0.0	0.0	13.0	0.0	4.0	41.0	88.5	147.0	-99.0	299.5	265.0	57.0	10.0	2.0	0.0	0.0	2.5	4.01	37.01	35.0	277.0	397.5	221.0	68.5	33.5	0.0	0.0	16.0	0.0	0.0	15.0	247.5	279.5	260.0	244.1	56.0	0.0	0.0	25.5	18.0	0.0	8.5	89.0	272.0	267.5	223.5	202.5	47.0	0.0	3.0	0.0	0.0	8.5	29.5	43.0	
OMEGR	(327)	GRO	OMETEPEC	119	-98.43	16.68	1.0	0.0	2.5	0.0	131.2	331.5	195.8	228.4	989.5	146.8	30.0	0.5	-99.0	0.0	0.0	0.0	112.5	455.7	18.2	465.6	414.1	764.5	24.5	8.5	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	20.4	0.0	65.0	0.0	13.0	349.2	241.7	272.6	466.3	15.0	53.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	0.8	313.4	-99.0	376.0	323.7	255.0	42.1	12.0	0.0	0.0	0.0	0.0	125.0	205.0	389.1	107.7	665.7	298.5	-99.0	0.0	0.0	0.0	0.0	0.0	-99.0	51.0	238.0	531.5	209.0	-99.0	8.0	46.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	122.6	0.0	-99.0	-99.0	0.0	0.0	-99.0	-99.0	133.7	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	36.2	64.8	250.6	234.1	183.2	265.3	125.4	0.0	0.0	2.2	0.0	0.0	0.0	147.0	299.9	378.7	809.1	77.3	13.1	11.1	27.2	32.3	0.0	0.0	197.0	568.4	124.8	243.2	247.6	206.0	20.0	0.0	94.2	25.5	0.0	81.5	69.2	
PETGR	(328)	GRO	PETAQUILLAS	125	-99.43	17.5	2.6	-99.0	11.5	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	30.0	8.5	133.5	2.0	107.5	251.0	246.0	140.0	274.0	20.0	22.0	0.0	0.0	0.0	28.0	13.0	112.0	139.0	340.5	240.0	267.5	153.5	1.0	0.0	6.0	3.0	0.0	1.0	93.5	176.5	-99.0	282.5	111.0	79.5	53.0	25.5	0.0	0.0	0.0	0.0	23.0	137.5	204.0	138.5	-99.0	180.5	61.0	0.0	3.0	2.0	0.0	22.0	2.0	126.5	124.0	327.5	251.0	-99.0	3.0	0.0	6.5	0.0	0.0	0.0	82.0	245.5	265.5	227.0	168.5	79.5	0.0	0.0	4.0	0.0	0.0	30.0	97.0	266.0	-99.0	194.0	402.0	80.5	4.0	2.0	0.0	0.0	0.0	24.5	32.0	11.0	224.5	222.5	90.5	273.5	50.0	0.0	0.0	12.5	0.0	0.0	15.0	69.5	305.0	251.5	516.1	79.0	6.0	-99.0	62.0	4.0	0.0	0.0	19.5	319.0	256.0	234.0	192.5	86.5	0.0	0.0	1.0	0.0	24.5	5.5	34.5	
QTZGR	(329)	GRO	QUETZALA	120	-98.51	16.66	0.0	0.0	2.3	-99.0	-99.0	164.0	130.1	195.5	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	95.2	273.4	-99.0	-99.0	-99.0	-99.0	18.6	8.4	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	12.2	0.0	66.7	0.0	8.9	294.7	330.0	227.8	380.8	31.7	21.7	0.3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	0.0	0.8	433.3	-99.0	215.5	199.7	240.8	47.6	31.4	0.0	0.0	0.0	0.0	71.1	198.8	265.8	246.1	-99.0	260.6	120.4	0.0	1.3	1.3	0.0	0.0	7.3	92.0	219.3	-99.0	119.0999993	-99.0	8.3	15.5	0.0	0.1	0.0	0.0	11.6	374.0	206.4	411.2	217.0	177.4	0.0	0.0	0.1	0.0	0.0	0.0	21.9	288.5	-99.0	242.9	538.4	259.7	1.8	0.0	0.0	0.0	0.0	0.0	66.8	-99.0	215.7	145.7	115.8	388.1	99.9	2.0	0.0	0.0	0.2	0.0	0.0	123.7	206.7	404.2	952.0	66.7	2.5	25.7	81.9	8.6	0.0	0.0	145.9	494.3	89.6	152.9	321.3	201.1	3.3	0.0	82.7	1.1	0.0	62.5	86.1	
RMEGR	(330)	GRO	REVOLUCION MEXICANA	94	-99.2	16.8	0.0	0.0	1.0	0.0	1.8	121.8	49.3	112.9	680.5	28.9	0.5	0.0	-99.0	0.0	0.0	0.0	228.2	170.4	21.0	131.6	358.4	264.3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	1.0	41.5	308.0	-99.0	176.0	215.0	290.2	92.5	0.0	0.0	0.0	0.0	0.0	27.0	140.5	145.5	245.5	264.0	204.0	103.0	0.0	0.0	3.0	0.0	0.0	0.0	98.5	84.5	361.0	210.1	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	200.0	235.0	3.0	0.0	0.0	0.0	0.0	0.0	15.0	243.6	-99.0	137.0	495.0	114.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	169.0	87.5	186.5	71.5	-99.0	95.0	5.0	0.0	0.0	0.0	0.0	0.0	147.0	67.0	117.0	-99.0	-99.0	-99.0	-99.0	35.0	0.0	0.0	0.0	41.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
SJEGR	(331)	GRO	SAN JERONIMO	157	-100.47	17.14	9.5	0.0	3.6	0.0	3.0	180.5	190.0	228.5	476.5	305.6	44.5	0.0	-99.0	0.0	0.0	0.0	127.0	65.1	8.0	320.5	226.5	205.5	-99.0	-99.0	0.0	0.0	65.5	0.0	58.5	180.5	136.0	183.5	337.5	269.5	16.5	4.0	11.0	0.0	79.0	0.0	0.0	67.5	215.8	312.5	310.5	16.4	77.0	0.0	0.0	0.0	0.0	0.0	88.0	324.4	113.5	158.0	498.0	60.0	22.0	13.0	0.0	0.0	0.0	0.0	18.0	369.0	-99.0	130.6	222.0	249.0	116.5	0.0	0.0	0.0	0.0	0.0	11.0	60.7	51.5	306.5	305.0	202.5	77.5	0.0	3.0	7.0	0.0	0.0	0.0	112.5	100.0	406.4	-99.0	-99.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	493.7	91.2	378.8	199.1	265.3	0.0	0.0	6.7	0.0	0.0	0.0	42.1	215.4	-99.0	65.1	358.0	122.9	0.0	0.0	0.0	0.0	0.0	0.0	14.6	239.5	165.9	300.2	138.2	485.5	1.0	29.7	0.0	2.3	0.0	0.0	0.0	69.0	72.5	138.5	673.3	126.3	5.5	0.0	29.5	0.0	0.0	0.0	75.6	422.2	121.3	247.2	296.2	220.1	8.5	0.5	0.0	0.0	0.0	7.3	69.3	
TAXGR	(332)	GRO	TAXCO	156	-99.61	18.55	8.8	0.0	14.8	19.2	109.5	288.6	177.3	277.6	0.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	0.0	-99.0	24.5	175.7	228.7	-99.0	-99.0	-99.0	0.0	3.0	51.5	0.0	271.4	149.1	160.1	147.5	282.5	47.0	25.5	1.0	19.0	0.0	49.5	17.7	69.5	263.0	372.5	312.5	382.5	31.0	34.0	0.0	0.0	0.0	10.0	10.0	189.5	144.4	159.0	204.0	201.1	175.4	3.0	0.0	0.0	1.5	0.0	42.2	179.5	229.6	-99.0	313.5	177.5	115.8	58.6	5.9	0.0	1.5	0.0	0.0	141.6	261.8	190.7	261.0	215.3	126.3	12.0	0.0	4.0	2.5	12.4	13.0	39.0	51.3	133.6	105.2	163.7000022	-99.0	3.5	0.0	2.5	0.0	0.0	0.0	180.0	398.8	150.6	150.8	179.4	36.5	0.0	0.0	13.0	0.0	0.0	23.8	100.1	138.9	-99.0	128.3	205.7	35.1	3.0	0.0	0.0	0.0	0.0	39.0	80.0	50.5	206.4	214.9	140.0	120.2	70.1	1.5	3.4	15.8	0.0	0.0	11.0	233.4	592.9	206.8	468.1	73.8	7.4	0.0	37.0	1.0	0.0	0.0	136.3	283.4	148.3	330.8	279.5	194.6	0.0	0.0	0.7	8.3	14.9	51.0	71.4	
